[2019-01-05 00:01:22][MainThread:14052][task_id:new_logger][ex_data.py:21][INFO][ex_web_data : __init__() called]
[2019-01-05 00:01:22][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 1 times]
[2019-01-05 00:01:22][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 2 times]
[2019-01-05 00:01:22][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 3 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 4 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 5 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 6 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 7 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 8 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 9 times]
[2019-01-05 00:01:23][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 10 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 11 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 12 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 13 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 14 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 15 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 16 times]
[2019-01-05 00:01:24][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 17 times]
[2019-01-05 00:01:25][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 18 times]
[2019-01-05 00:01:25][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 19 times]
[2019-01-05 00:01:25][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 20 times]
[2019-01-05 00:01:25][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 21 times]
[2019-01-05 00:01:25][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 22 times]
[2019-01-05 00:01:25][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 23 times]
[2019-01-05 00:01:26][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 24 times]
[2019-01-05 00:01:26][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 25 times]
[2019-01-05 00:01:26][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 26 times]
[2019-01-05 00:01:26][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 27 times]
[2019-01-05 00:01:26][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 28 times]
[2019-01-05 00:01:26][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 29 times]
[2019-01-05 00:01:27][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 30 times]
[2019-01-05 00:01:27][MainThread:14052][task_id:new_logger][tushare_data.py:33][INFO][tushare call 31 times]
